title,distance,price,score,checkin,checkout
特克斯琼库什台乌孙启旅行者营地,距琼库什台步行480米,1639,4.8,2026/1/11,2026/1/12
琼库什台欢驿民宿,距琼库什台步行1.4公里,391,4.4,2026/1/11,2026/1/12
琼库什台安境民宿,距琼库什台驾车1.4公里,1207,4.9,2026/1/11,2026/1/12
特克斯云雾牧家,距琼库什台步行740米,430,4.9,2026/1/11,2026/1/12
琼库什台阅木山居民宿,距琼库什台步行110米,1028,4.7,2026/1/11,2026/1/12
琼库什台溪云涧民宿,距琼库什台驾车6.3公里,2980,5.0,2026/1/11,2026/1/12
琼库什台盛开民宿,距琼库什台步行170米,446,3.4,2026/1/11,2026/1/12
琼库什台一分阁民宿,距琼库什台驾车1.8公里,574,4.8,2026/1/11,2026/1/12
琼库什台天青予·山居民宿,距琼库什台驾车3.2公里,990,4.7,2026/1/11,2026/1/12
琼库什台村UniqueStay雪山牧场民宿,距琼库什台驾车5.6公里,951,4.7,2026/1/11,2026/1/12
琼库什台船长与桥民宿,距琼库什台驾车5.6公里,1190,4.3,2026/1/11,2026/1/12
琼库什台远川民宿,距琼库什台步行1.4公里,1745,4.7,2026/1/11,2026/1/12
琼库什台向晚牧归民宿,距琼库什台驾车6公里,1356,5.0,2026/1/11,2026/1/12
琼库什台平静客栈,距琼库什台驾车6.1公里,568,4.8,2026/1/11,2026/1/12
琼库什台犁云小筑,距琼库什台步行790米,588,4.7,2026/1/11,2026/1/12
觅雅民宿(琼库什台店),距琼库什台步行430米,668,4.6,2026/1/11,2026/1/12
琼库什台千屿民宿,距琼库什台驾车6.4公里,710,4.6,2026/1/11,2026/1/12
琼库什台·伊南里塞外美学民宿,距琼库什台步行870米,591,4.8,2026/1/11,2026/1/12
山驰·牧云观景度假美宿,距琼库什台驾车17.5公里,933,4.9,2026/1/11,2026/1/12
特克斯峰玲牧舍民宿,距琼库什台驾车6.1公里,870,2.2,2026/1/11,2026/1/12
琼库什台韶华静好民宿,距琼库什台驾车3.8公里,1888,4.1,2026/1/11,2026/1/12
喀拉峻无垠之境野奢营地酒店,距琼库什台直线21.5公里,619,4.5,2026/1/11,2026/1/12
新疆喀拉峻花间营·云驰谷,距琼库什台驾车119.2公里,714,4.6,2026/1/11,2026/1/12
一程山水民宿,距琼库什台驾车34.7公里,446,4.9,2026/1/11,2026/1/12
云祯花园（琼库什台店）,距琼库什台驾车<1公里,1333,4.3,2026/1/11,2026/1/12
琼库什台梵净山舍民宿,距琼库什台驾车8.1公里,968,4.9,2026/1/11,2026/1/12
琼库什台听岚山庄,距琼库什台驾车16.9公里,584,4.8,2026/1/11,2026/1/12
琼库什台岭杉民宿,距琼库什台驾车2.3公里,850,4.8,2026/1/11,2026/1/12
琼库什台春山颂月民宿,距琼库什台驾车9.6公里,2199,4.9,2026/1/11,2026/1/12
欣驿·琼库什台度假山庄,距琼库什台驾车4.8公里,543,4.8,2026/1/11,2026/1/12
